epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,1142.63,0.5574,0.42418,0.94559,0.75592,0.6763,0.73518,0.57531,0.99429,0.89668,1.14724,0.000535391,0.000535391,0.000535391
159,1149.75,0.56509,0.43593,0.95344,0.69991,0.64222,0.6717,0.5281,0.98637,0.9218,1.14838,0.000531725,0.000531725,0.000531725
160,1156.87,0.5583,0.42904,0.9524,0.83933,0.66909,0.74683,0.59675,0.96967,0.9292,1.14224,0.000528058,0.000528058,0.000528058
161,1164.02,0.54502,0.42359,0.93917,0.80137,0.61444,0.73282,0.58503,1.02028,0.93599,1.18069,0.000524392,0.000524392,0.000524392
162,1171.13,0.55638,0.43474,0.95348,0.82962,0.68315,0.76601,0.61584,1.0313,0.84099,1.21159,0.000520726,0.000520726,0.000520726
163,1178.3,0.55481,0.41283,0.94694,0.82531,0.68528,0.76518,0.60455,1.00275,0.83524,1.18862,0.000517059,0.000517059,0.000517059
164,1185.47,0.5639,0.4272,0.95678,0.74935,0.71415,0.77189,0.59556,0.96548,0.80646,1.16186,0.000513393,0.000513393,0.000513393
165,1192.59,0.54721,0.43177,0.94978,0.81538,0.65793,0.74327,0.58143,0.94653,0.81717,1.1432,0.000509727,0.000509727,0.000509727
166,1199.68,0.55377,0.42071,0.95413,0.75737,0.67052,0.7284,0.58305,0.96214,0.82522,1.16714,0.00050606,0.00050606,0.00050606
167,1206.86,0.55468,0.42079,0.94749,0.87112,0.6964,0.7667,0.61836,0.9717,0.83204,1.17724,0.000502394,0.000502394,0.000502394
168,1214.03,0.53777,0.40936,0.94242,0.83181,0.67697,0.77463,0.6174,0.96682,0.84356,1.16835,0.000498728,0.000498728,0.000498728
169,1221.17,0.53284,0.41156,0.94031,0.79902,0.64412,0.73831,0.5927,0.96637,0.80835,1.16149,0.000495062,0.000495062,0.000495062
170,1228.29,0.553,0.41509,0.94181,0.78121,0.66133,0.73798,0.59243,0.98255,0.80427,1.17199,0.000491395,0.000491395,0.000491395
